Packet_Size,Protocol,Src_Port,Dst_Port,TCP_Flags,Inter_Arrival_Time
1454,6,62574,443,16,0.0014138221740722656
1454,6,62574,443,16,0.0
1242,6,62574,443,24,0.0010056495666503906
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0009992122650146484
1494,17,443,50640,0,0.0
88,17,50640,443,0,0.0009996891021728516
88,17,50640,443,0,0.0
71,17,63888,443,0,0.0
1494,17,443,50640,0,0.0010030269622802734
1407,17,443,50640,0,0.0
88,17,50640,443,0,0.0009970664978027344
60,6,443,62574,16,0.05508613586425781
60,6,443,62574,16,0.0
66,17,443,63888,0,0.07487010955810547
1494,17,443,50640,0,0.01762247085571289
761,17,443,50640,0,0.0
88,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
322,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
90,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
88,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
88,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
88,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
88,17,50640,443,0,0.0
1494,17,443,50640,0,0.015619039535522461
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
88,17,50640,443,0,0.0
1494,17,443,50640,0,0.016258955001831055
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.014983415603637695
88,17,50640,443,0,0.0
88,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
93,17,50640,443,0,0.0
88,17,50640,443,0,0.0
88,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
