2025-12-16 14:37:59,398 | ANOMALY | Size=402.0 | Proto=17.0 | SrcPort=443.0 | DstPort=53413.0 | IAT=0.201005
2025-12-16 14:37:59,399 | ANOMALY | Size=328.0 | Proto=17.0 | SrcPort=61002.0 | DstPort=443.0 | IAT=0.155008
2025-12-16 14:37:59,399 | ANOMALY | Size=1292.0 | Proto=17.0 | SrcPort=62099.0 | DstPort=443.0 | IAT=0.381999
2025-12-16 14:37:59,399 | ANOMALY | Size=985.0 | Proto=17.0 | SrcPort=443.0 | DstPort=55634.0 | IAT=0.081996
2025-12-16 14:37:59,399 | ANOMALY | Size=1288.0 | Proto=17.0 | SrcPort=59698.0 | DstPort=443.0 | IAT=0.052010
2025-12-16 14:37:59,400 | ANOMALY | Size=97.0 | Proto=6.0 | SrcPort=58318.0 | DstPort=443.0 | IAT=0.030016
2025-12-16 14:37:59,400 | ANOMALY | Size=1086.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62654.0 | IAT=0.030984
2025-12-16 14:37:59,400 | ANOMALY | Size=1027.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62652.0 | IAT=0.120999
2025-12-16 14:37:59,401 | ANOMALY | Size=1514.0 | Proto=17.0 | SrcPort=443.0 | DstPort=51763.0 | IAT=0.097001
2025-12-16 14:37:59,401 | ANOMALY | Size=841.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62655.0 | IAT=0.031005
2025-12-16 14:37:59,401 | ANOMALY | Size=1514.0 | Proto=17.0 | SrcPort=443.0 | DstPort=51763.0 | IAT=0.068001
2025-12-16 14:37:59,402 | ANOMALY | Size=1514.0 | Proto=17.0 | SrcPort=443.0 | DstPort=51763.0 | IAT=0.300009
2025-12-16 14:37:59,402 | ANOMALY | Size=66.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62659.0 | IAT=0.081007
2025-12-16 14:37:59,402 | ANOMALY | Size=1292.0 | Proto=17.0 | SrcPort=51763.0 | DstPort=443.0 | IAT=0.148002
2025-12-16 14:37:59,403 | ANOMALY | Size=54.0 | Proto=6.0 | SrcPort=62653.0 | DstPort=443.0 | IAT=0.130005
2025-12-16 14:37:59,403 | ANOMALY | Size=857.0 | Proto=17.0 | SrcPort=64771.0 | DstPort=443.0 | IAT=0.038004
2025-12-16 14:37:59,404 | ANOMALY | Size=139.0 | Proto=17.0 | SrcPort=53.0 | DstPort=57870.0 | IAT=0.061000
2025-12-16 14:37:59,404 | ANOMALY | Size=82.0 | Proto=17.0 | SrcPort=443.0 | DstPort=62843.0 | IAT=0.151000
2025-12-16 14:37:59,404 | ANOMALY | Size=487.0 | Proto=17.0 | SrcPort=55574.0 | DstPort=443.0 | IAT=0.123998
2025-12-16 14:37:59,405 | ANOMALY | Size=1292.0 | Proto=17.0 | SrcPort=52982.0 | DstPort=443.0 | IAT=0.071995
2025-12-16 14:37:59,405 | ANOMALY | Size=884.0 | Proto=17.0 | SrcPort=443.0 | DstPort=65387.0 | IAT=0.076990
2025-12-16 14:37:59,405 | ANOMALY | Size=527.0 | Proto=17.0 | SrcPort=58633.0 | DstPort=443.0 | IAT=0.079995
2025-12-16 14:37:59,406 | ANOMALY | Size=1292.0 | Proto=17.0 | SrcPort=51763.0 | DstPort=443.0 | IAT=0.045000
2025-12-16 14:37:59,406 | ANOMALY | Size=1292.0 | Proto=17.0 | SrcPort=52982.0 | DstPort=443.0 | IAT=0.423997
